"","Latitude","Longitude","BSR","5kmForestCover","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"199",-20.684471,-42.005127,"Bahia interior forests",19.97630511367,0.017,20.7875003814697,232.849197387695,1213,74.2911605834961,612,0.24
"201",-20.773805,-42.181166,"Bahia interior forests",33.9253973205693,0.598,18.6708335876465,234.931900024414,1311,72.1106567382812,922,7.08
"202",-20.754254,-42.057609,"Bahia interior forests",22.2950773438905,0.132,20.2916660308838,234.102096557617,1243,73.25537109375,631,2.94
"203",-20.829678,-42.136362,"Bahia interior forests",29.3479311826689,0.165,19.1916675567627,236.468627929688,1301,71.8118896484375,790,3.59
"204",-20.719253,-42.478341,"Bahia interior forests",58.5469494899033,0.091,16.029167175293,224.352188110352,1469,71.2843017578125,1519,1.08
"205",-20.281605,-42.905757,"Bahia interior forests",11.4282683541223,0.169,21.8833332061768,227.559509277344,1241,81.9344635009766,306,0.51
"207",-20.783333,-42.916666,"Bahia interior forests",25.5378779231462,0.2,19.0666675567627,238.454605102539,1319,76.9179992675781,777,1.78
"208",-20.549028,-42.13104,"Bahia interior forests",18.2750513995856,0.029,18.75,235.458938598633,1279,73.3886032104492,915,0.03
"209",-20.532725,-42.119309,"Bahia interior forests",25.8912283925456,0.134,18.6749992370605,235.540969848633,1284,72.5280609130859,914,0.04
"210",-20.959211,-42.096833,"Bahia interior forests",26.0892350983941,0.078,21.9874992370605,234.735092163086,1219,76.1974258422852,387,2.25
"211",-20.882747,-42.082659,"Bahia interior forests",30.0364517126522,0.061,21.0708332061768,235.37646484375,1230,75.1395874023438,505,3.42
"212",-20.931924,-42.099394,"Bahia interior forests",31.8077680757152,0.092,21.0750007629395,236.801605224609,1240,74.9470748901367,419,2.98
"213",-8.037663,-35.146338,"Pernambuco coastal forests",6.21296568723898,0.062,24.2250003814697,117.09553527832,1172,65.4871673583984,74,0.41
"214",-8.552025,-35.147795,"Pernambuco coastal forests",20.7531012668084,0.013,24.3250007629395,104.522743225098,2083,58.9429664611816,29,0.21
"215",-8.564169,-35.156086,"Pernambuco coastal forests",19.375612992515,0.014,24.2291660308838,104.782424926758,2099,59.0505180358887,27,0.16
"216",-8.56952,-35.169074,"Pernambuco coastal forests",20.2915813585249,0.014,24.154167175293,106.823081970215,2097,59.8008880615234,32,0.31
"217",-8.616551,-35.16902,"Pernambuco coastal forests",19.0192205551097,0.064,23.8833332061768,105.751289367676,2090,60.3975639343262,29,0.13
"219",-8.981591,-35.906815,"Pernambuco coastal forests",14.2110784584334,0.148,21.7374992370605,137.280822753906,1723,56.1501846313477,458,0.1
"220",-8.057178,-35.161797,"Pernambuco coastal forests",8.47328795736545,0.079,24.216667175293,115.647033691406,1143,66.1341018676758,89,0.63
"224",-8.712577,-35.841482,"Pernambuco interior forests",25.1465358729501,0.275,20.8500003814697,137.807510375977,1149,62.7118148803711,428,2.32
"227",-8.044811,-35.152149,"Pernambuco coastal forests",7.2950084394055,0.302,24.158332824707,115.460205078125,1164,66.0770263671875,76,0.45
"229",-8.729163,-35.176529,"Pernambuco coastal forests",20.5728188614851,0.066,23.9750003814697,104.566207885742,1908,60.3705406188965,36,0.21
"231",-8.572015,-35.08724,"Pernambuco coastal forests",12.9199617975613,0.318,24.4874992370605,103.597206115723,1947,58.6853866577148,5,0.16
"232",-8.54944,-35.196669,"Pernambuco coastal forests",23.6017194595804,0.024,24.3166675567627,106.265823364258,2056,59.3272666931152,50,0.59
"233",-8.54316,-35.185576,"Pernambuco coastal forests",22.2034547189155,0.01,24.3999996185303,105.830055236816,2055,59.5244216918945,52,0.81
"234",-20.719992,-42.477459,"Bahia interior forests",58.1259660273765,0.074,16.029167175293,224.352188110352,1469,71.2843017578125,1488,3.76
"235",-21.089167,-44.942222,"Bahia interior forests",12.0612504554069,0.128,19.9458332061768,229.083724975586,1613,81.1327285766602,868,0.53
"236",-21.22454,-44.789672,"Bahia interior forests",15.273247278451,0.067,20.0416660308838,229.107299804688,1613,81.4364624023438,876,1.02
"237",-21.219728,-44.812401,"Bahia interior forests",13.8078937524772,0.181,20.0833339691162,231.529846191406,1606,81.1143112182617,868,0.74
"238",-21.115283,-44.949236,"Bahia interior forests",9.04551481231362,0.066,19.9874992370605,228.06623840332,1601,80.9159469604492,849,0.06
"239",-21.23503,-44.884247,"Bahia interior forests",13.2888727230598,0.037,19.8166675567627,229.914337158203,1589,80.0972518920898,878,0.35
"240",-21.126534,-44.81908,"Bahia interior forests",15.0763816746214,0.113,19.8875007629395,223.862014770508,1661,83.3125,866,1.66
"241",-21.141111,-44.832222,"Bahia interior forests",14.9330407048867,0,19.8166675567627,224.533172607422,1662,82.9952621459961,878,1.91
"242",-21.168889,-44.873333,"Bahia interior forests",11.4488635430609,0,20.1208324432373,229.17301940918,1608,81.3957290649414,849,0.1
"244",-21.133333,-44.978889,"Bahia interior forests",7.00804891815022,0,20.1124992370605,229.902420043945,1566,80.2603225708008,849,0.65
"245",-21.168056,-44.840833,"Bahia interior forests",13.0888433306934,0.113,19.9874992370605,226.897308349609,1631,82.2240447998047,904,1.64
"247",-21.169167,-44.841944,"Bahia interior forests",12.8980528068575,0.113,20.1208324432373,228.228942871094,1613,82.0628967285156,904,1.64
"248",-21.156944,-44.905,"Bahia interior forests",7.68073529320867,0.025,20.091667175293,230.541213989258,1603,80.8138732910156,849,0.04
"249",-21.791475,-46.520653,"Campos Rupestres montane savanna",30.4590416493484,0.259,16.966667175293,225.986053466797,1713,72.1853637695312,1531,1.25
"250",-21.870308,-46.507098,"Alto Parana Atlantic forest",32.1640687961836,0.365,17.8708343505859,223.275817871094,1691,73.6703567504883,1232,0.37
"251",-20.000278,-43.874444,"Bahia interior forests",46.3220065649935,0.085,20.2000007629395,183.364990234375,1517,86.3078765869141,920,0.17
"252",-21.168287,-44.951182,"Bahia interior forests",6.61940574789529,0.095,19.7291660308838,226.479553222656,1588,79.6371002197266,907,0.88
"253",-21.160833,-44.867222,"Bahia interior forests",12.0265548114543,0,20.1083335876465,229.869888305664,1610,81.6190185546875,851,0.74
"255",-11.37682264,-37.50447715,"Pernambuco interior forests",43.1999689582254,0.12,24.7041664123535,140.994171142578,1650,55.5137710571289,54,0.82
"256",-11.50427366,-37.58383293,"Pernambuco interior forests",25.687412850692,0.062,24.5125007629395,147.788650512695,1531,52.3053016662598,56,0.42
"257",-11.17070912,-37.26051858,"Pernambuco interior forests",10.8470656804481,0.143,25.1833324432373,128.387451171875,1772,60.4853248596191,42,0.24
"258",-11.42822712,-37.60394076,"Pernambuco interior forests",21.2422496401275,0.027,24.3208332061768,146.775314331055,1452,50.8244781494141,78,1.04
"259",-12.4479642,-38.40360627,"Bahia coastal forests",30.8248958438797,0.071,23.8500003814697,139.740005493164,1499,46.4556999206543,148,0.85
"260",-12.66106575,-38.81655138,"Bahia coastal forests",53.3144285972454,0.034,23.3708324432373,141.749755859375,1433,40.1350440979004,135,1.27
"261",-11.37253713,-37.41637731,"Pernambuco interior forests",32.6092848839689,0.061,24.8958339691162,133.458511352539,1813,57.4406356811523,7,0.08
"262",-12.45755994,-38.55576342,"Bahia coastal forests",13.9050788119212,0.025,23.6958332061768,144.339538574219,1457,42.6964683532715,119,0.3
"263",-12.56418434,-38.42222683,"Bahia coastal forests",27.9181719338017,0.086,24.1958332061768,135.100280761719,1656,48.4171752929688,94,0.89
