"","Blarinomys breviceps","Caluromys philander","Cerradomys langguthi","Cerradomys subflavus","Cerradomys vivoi","Cryptonanus agricolai","Cryptonanus guahybae","Delomys dorsalis","Delomys sublineatus","Euryoryzomys russatus","Euryzygomatomys spinosus","Gracilinanus agilis","Gracilinanus microtarsus","Hylaeamys laticeps","Juliomys ossitenuis","Juliomys pictipes","Juliomys rimofrons","Marmosa demerarae","Marmosa murina","Marmosa paraguayanus","Marmosops incanus","Marmosops paulensis","Metachirus nudicaudatus","Monodelphis americana","Monodelphis dimidiata","Monodelphis domestica","Monodelphis iheringi","Monodelphis kunsi","Monodelphis scalops","Oecomys catherinae","Oligoryzomys flavescens","Oligoryzomys nigripes","Philander frenatus","Phyllomys brasiliensis","Phyllomys nigrispinus","Phyllomys pattoni","Pseudoryzomys simplex","Rattus norvegicus","Rattus rattus","Rhagomys rufescens","Rhipidomys itoan","Rhipidomys mastacalis","Sooretamys angouya","Thaptomys nigrita","Thrichomys laurentius","Trinomys dimidiatus","Trinomys eliasi","Trinomys iheringi","Trinomys mirapitanga","Trinomys paratus","Trinomys setosus"
"sm158",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm159",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm17",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm170",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sm171",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"sm172",1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"sm178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"sm18",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm181",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"sm183",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
