"","Latitude","Longitude","BSR","1kmForestCover","5kmForestCover","10kmForestCover","MeanAge","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"315",-22.8,-44.6,"Serra do Mar coastal forests",58.75848853201,76.5753104790899,72.4582114594735,48.9046407104624,0.02508,15.4208335876465,254.794570922852,1653,70.3956527709961,1188,4.48
"316",-22.8,-44.6,"Serra do Mar coastal forests",58.75848853201,76.5753104790899,72.4582114594735,48.9046407104624,0.02508,15.4208335876465,254.794570922852,1653,70.3956527709961,1188,4.48
"317",-22.8,-44.6,"Serra do Mar coastal forests",58.75848853201,76.5753104790899,72.4582114594735,48.9046407104624,0.02508,15.4208335876465,254.794570922852,1653,70.3956527709961,1188,4.48
"318",-22.8,-44.6,"Serra do Mar coastal forests",58.75848853201,76.5753104790899,72.4582114594735,48.9046407104624,0.02508,15.4208335876465,254.794570922852,1653,70.3956527709961,1188,4.48
"445",-20.814444,-42.863611,"Bahia interior forests",13.0962284753169,21.6709882461947,18.0274688839329,42.4166666666667,0.16667,19.3208332061768,239.957000732422,1282,77.7602005004883,761,3.06
"446",-20.807777,-42.878888,"Bahia interior forests",13.1750705243491,22.9707955168575,18.6880738733524,50,0,19.4375,240.048538208008,1277,77.9452972412109,696,0.21
"451",-20.829166,-42.861111,"Bahia interior forests",9.04295526422571,17.8610538759763,16.9770030000542,46.258064516129,0.08065,19.1375007629395,237.286987304688,1299,77.3019485473633,789,3.85
"455",-20.770277,-42.842777,"Bahia interior forests",28.1789769930614,22.4848171977331,18.0992461833777,49.4050632911392,0.01266,19.408332824707,242.382431030273,1273,77.5137786865234,652,0.84
"456",-20.721666,-42.861944,"Bahia interior forests",8.79292719704772,15.9108829811742,19.1609059053043,48.4597701149425,0.03448,19.7541656494141,242.219451904297,1269,77.4841461181641,643,0.23
"457",-20.720555,-42.8175,"Bahia interior forests",12.9453257611518,13.2017480782269,16.9465742892276,49.0961538461538,0.01923,19.5666656494141,242.780609130859,1269,77.255241394043,657,0.12
"458",-20.730277,-42.853888,"Bahia interior forests",9.66048382429923,14.8246811782696,19.50524606363,47.1074380165289,0.06612,19.6916656494141,243.122055053711,1267,77.4735488891602,647,0.29
"462",-20.743333,-42.830555,"Bahia interior forests",9.01616261336103,15.9789394082176,16.9713413414949,47.7083333333333,0.05208,19.5125007629395,242.731842041016,1267,77.3763885498047,658,0.25
"463",-20.786666,-42.881388,"Bahia interior forests",19.9064712120628,24.2855398308349,20.0350955400778,44.1612903225806,0.12903,19.4624996185303,240.672592163086,1277,77.7185440063477,691,0.93
"466",-20.819444,-42.904722,"Bahia interior forests",30.7724457105587,21.1534950515777,19.9712207638685,42.4648526077098,0.16553,19.1625003814697,238.271453857422,1304,77.3453750610352,724,1.67
