Species;GapeSize;Gape_Sivault;Gape_AvianFrug;Gape_Bovo;Gape_ATLANTIC;Gape_Pigot;Gape_MammalModel;Reference
Callithrix.jacchus;30.24875951;NA;NA;NA;NA;NA;30.24875951;Model
Callithrix.penicillata;31.63071309;NA;NA;NA;NA;NA;31.63071309;Model
Chrysocyon.brachyurus;89.08196023;NA;NA;NA;NA;NA;89.08196023;Model
Coendou.spinosus;44.41680254;NA;NA;NA;NA;NA;44.41680254;Model
Cuniculus.paca;71.57563379;NA;NA;NA;NA;NA;71.57563379;Model
Dasyprocta.azarae;56.61930087;NA;NA;NA;NA;NA;56.61930087;Model
Delomys.sublineatus;23.51124503;NA;NA;NA;NA;NA;23.51124503;Model
Eira.barbara;59.3080313;NA;NA;NA;NA;NA;59.3080313;Model
Euryoryzomys.russatus;21.35946811;NA;NA;NA;NA;NA;21.35946811;Model
Gracilinanus.microtarsus;17.1666799;NA;NA;NA;NA;NA;17.1666799;Model
Herpailurus.yagouaroundi;67.35668926;NA;NA;NA;NA;NA;67.35668926;Model
Hydrochoerus.hydrochaeris;109.1555207;NA;NA;NA;NA;NA;109.1555207;Model
Juliomys.pictipes;16.88868985;NA;NA;NA;NA;NA;16.88868985;Model
Leontopithecus.chrysopygus;37.98269772;NA;NA;NA;NA;NA;37.98269772;Model
Leopardus.wiedii;57.35451355;NA;NA;NA;NA;NA;57.35451355;Model
Marmosa.paraguayanus;32.9447816;NA;NA;NA;NA;NA;32.9447816;Model
Marmosops.incanus;21.30634694;NA;NA;NA;NA;NA;21.30634694;Model
Marmosops.paulensis;20.33661426;NA;NA;NA;NA;NA;20.33661426;Model
Mazama.gouazoubira;83.05217619;NA;NA;NA;NA;NA;83.05217619;Model
Metachirus.nudicaudatus;34.50612876;NA;NA;NA;NA;NA;34.50612876;Model
Monodelphis.americana;19.08824442;NA;NA;NA;NA;NA;19.08824442;Model
Monodelphis.iheringi;24.78829036;NA;NA;NA;NA;NA;24.78829036;Model
Monodelphis.scalops;22.38850542;NA;NA;NA;NA;NA;22.38850542;Model
Nasua.nasua;68.9433333;68.9433333;NA;NA;NA;NA;58.83408026;Sivault et al., 2023
Oecomys.catherinae;22.38113811;NA;NA;NA;NA;NA;22.38113811;Model
Oligoryzomys.flavescens;16.56722979;NA;NA;NA;NA;NA;16.56722979;Model
Oligoryzomys.nigripes;16.63122314;NA;NA;NA;NA;NA;16.63122314;Model
Pecari.tajacu;87.33526104;NA;NA;NA;NA;NA;87.33526104;Model
Philander.frenatus;35.75987038;NA;NA;NA;NA;NA;35.75987038;Model
Procyon.cancrivorus;65.58707115;NA;NA;NA;NA;NA;65.58707115;Model
Rhipidomys.itoan;22.63148012;NA;NA;NA;NA;NA;22.63148012;Model
Sapajus.nigritus;53.22370211;NA;NA;NA;NA;NA;53.22370211;Model
Sooretamys.angouya;25.21381011;NA;NA;NA;NA;NA;25.21381011;Model
Tapirus.terrestris;155.8481884;NA;NA;NA;NA;NA;155.8481884;Model
Tayassu.pecari;97.1132566;NA;NA;NA;NA;NA;97.1132566;Model
Thaptomys.nigrita;16.3250356;NA;NA;NA;NA;NA;16.3250356;Model
