Species;Seed.Length;References
Ocotea.bragai;12.803;Genus average
Ocotea.catharinensis;15.7;Bello
Ocotea.corymbosa;6.625;ReSeeD
Ocotea.daphnifolia;14;Bello
Ocotea.diospyrifolia;16;Bello
Ocotea.dispersa;8;ReSeeD
Ocotea.glaziovii;12.803;Genus average
Ocotea.indecora;13.665;ReSeeD
Ocotea.koscinskii;12.803;Genus average
Ocotea.lancifolia;12.7;Bello
Ocotea.nectandrifolia;12.803;Genus average
Ocotea.nunesiana;12.803;Genus average
Ocotea.odorifera;13.5;ReSeeD
Ocotea.prolifera;12.803;Genus average
Ocotea.puberula;8.45;ReSeeD
Ocotea.pulchella;6.675;ReSeeD
Ocotea.silvestris;12.803;Genus average
Ocotea.teleiandra;20;ReSeeD
Ocotea.velloziana;12.803;Genus average
Ocotea.velutina;11;ReSeeD
Ocotea.venulosa;12.803;Genus average
Ormosia.arborea;17.5;ReSeeD
Ouratea.castaneifolia;10;ReSeeD
Ouratea.parviflora;9.971;Genus average
Pachira.glabra;13.5;ReSeeD
Parinari.brasiliensis;26.5;Colecionando Frutas
Parinari.excelsa;34;ReSeeD
Pera.furfuracea;6.972;Genus average
Pera.glabrata;4.943;ReSeeD
Pereskia.grandifolia;6.35;The World Flora Online
Persea.americana;50;Seed dispersal services by coatis (Nasua nasua) and their redundancy with other frugivores in southeastern Brazil (Alves-Costa & Eterovick, 2007)
Persea.willdenovii;7.5;Bello
Philyra.brasiliensis;3.95;Phylogenetic relationships and the description of a new species of Enriquebeltrania: An enigmatic genus endemic to Mexico (De-Nova et al., 2006)
Phyllanthus.riedelianus;3;Phyllanthaceae in the Atlantic Forest of northeastern Brazil (Torres et al., 2022)
Phytolacca.dioica;3.175;ReSeeD
Picramnia.sellowii;7.5;Genus average
Pimenta.pseudocaryophyllus;8.5;ReSeeD
Piper.aduncum;0.9;ReSeeD
Piper.amalago;0.8;Potential seed dispersal by Didelphis albiventris in highly disturbed environment (Cantor et al., 2010)
Piper.arboreum;1.62;Preferential consumption of larger fruits of Piper arboreum by Carollia perspicillata in the brazilian tropical dry forest (Pires et al., 2015)
Piper.cernuum;1.08;Genus average
Piptocarpha.densifolia;5.4;Genus average
Pisonia.ambigua;16.6;Bello
Platypodium.elegans;15;Bello
Plinia.peruviana;9;Romano
Plinia.pseudodichasiantha;12.818;Genus average
Plinia.rivularis;10;Bello
Plinia.silvestris;12.818;Genus average
Podocarpus.sellowii;5;Genus average
Posoqueria.acutifolia;20;Bello
Posoqueria.latifolia;13.283;ReSeeD
Pourouma.guianensis;17.5;Bello
Pouteria.beaurepairei;16;Bello
Pouteria.caimito;40;Bello
Pouteria.gardneri;19.2;Bello
Pouteria.grandiflora;34;Bello
Pouteria.venosa;44.4;Bello
Prockia.crucis;1.633;ReSeeD
Protium.heptaphyllum;13.533;ReSeeD
Protium.kleinii;12.075;Genus average
Protium.spruceanum;10;Bello
Protium.widgrenii;16;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Prunus.myrtifolia;7.76;ReSeeD
Pseudobombax.grandiflorum;5;ReSeeD
Psidium.cattleianum;3.6;ReSeeD
Psidium.guajava;3.9;ReSeeD
Psidium.guineense;4;ReSeeD
Psidium.sartorianum;6.6;ReSeeD
Psychotria.mapourioides;3;ReSeeD
Psychotria.pedunculosa;8;Colecionando Frutas
Psychotria.suterella;4;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Psychotria.vellosiana;3.75;ReSeeD
Quararibea.turbinata;13;Flora e Funga do Brasil
Quiina.glaziovii;13;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Randia.armata;12.8;Bello
Rhamnidium.elaeocarpum;7.25;ReSeeD
Rhamnus.sphaerosperma;5;Feeding of small rodents on seeds and fruits: a comparative analysis of three species of rodents of the Araucaria forest, southern Brazil (Vieira et al., 2006)
Rhodostemonodaphne.macrocalyx;20;Bello
Ricinus.communis;15.5;The World Flora Online
Roupala.montana;18.948;ReSeeD
Rudgea.gardenioides;7.6;Genus average
Rudgea.jasminoides;6.6;ReSeeD
Rudgea.recurva;7.6;Genus average
Ruprechtia.laxiflora;8;ReSeeD
Rustia.formosa;1.5;Bello
Salacia.grandifolia;21.6;Genus average
Samanea.saman;10;Tropical tree seed manual (Vozzo, 2003)
Sapindus.saponaria;10.581;ReSeeD
Sapium.glandulosum;6.06;ReSeeD
Sapium.haematospermum;7;Bello
Savia.dictyocarpa;4.2;ReSeeD
Schefflera.angustissima;3;Bello
Schefflera.calva;4;Genus average
Schefflera.morototoni;5;Bello
Schinus.molle;4;Tropical tree seed manual (Vozzo, 2003)
Schinus.terebinthifolia;4.379;ReSeeD
Sebastiania.brasiliensis;6.487;ReSeeD
Seguieria.langsdorffii;15.5;ReSeeD
Senegalia.polyphylla;9.459;ReSeeD
Senna.macranthera;5.933;ReSeeD
Senna.multijuga;8.25;ReSeeD
Senna.pendula;5.05;The World Flora Online
Siparuna.guianensis;4.9;ReSeeD
Sloanea.guianensis;10.333;ReSeeD
Sloanea.hirsuta;13.05;ReSeeD
Sloanea.lasiocoma;10;ReSeeD
Sloanea.monosperma;44.783;Genus average
Solanum.argenteum;5.4;Bello
Solanum.bullatum;3.45;The World Flora Online
Solanum.cinnamomeum;3.98;Genus average
Solanum.granulosoleprosum;2;ReSeeD
Solanum.lycocarpum;6;Bello
Solanum.mauritianum;2.05;Flora e Funga do Brasil
Solanum.pseudoquina;4.2;Bello
Solanum.sanctae.catharinae;3.2;Bello
Solanum.sellowii;3.98;Genus average
Solanum.swartzianum;3.98;Genus average
Sorocea.bonplandii;9.825;ReSeeD
Sterculia.curiosa;30;Colecionando Frutas
Styrax.acuminatus;11.013;Genus average
Swartzia.submarginata;29.191;Genus average
Syagrus.romanzoffiana;21.888;ReSeeD
Symplocos.estrellensis;9.55;Genus average
Symplocos.nitidiflora;6.5;A revision of Symplocos Jacq. Section Neosymplocos Brand (Aranha Filho et al., 2007)
Syzygium.cumini;12.5;Flora e Funga do Brasil
Syzygium.jambos;25;Flora e Funga do Brasil
Tabebuia.roseoalba;6.333;ReSeeD
Tabernaemontana.catharinensis;8.233;ReSeeD
Tabernaemontana.hystrix;5;Remocao de sementes e herbivoria de mudas em diferentes sistemas de restauracao ecologia da floresta estacional semidecidual (Ceron, 2020)
Tabernaemontana.laeta;10;ReSeeD
Tapirira.guianensis;7.675;ReSeeD
Tapirira.obtusa;9.6;ReSeeD
Tecoma.stans;7;ReSeeD
Terminalia.glabrescens;7.52;ReSeeD
Tetrastylidium.grandifolium;13.5;The World Flora Online
Tetrorchidium.rubrivenium;6;Bello
Trema.micrantha;2;Bello
Trichilia.casaretti;13;ReSeeD
Trichilia.catigua;12.5;ReSeeD
Trichilia.clausseni;9.167;ReSeeD
Trichilia.elegans;9.28;ReSeeD
Trichilia.pallens;10;Bello
Trichilia.pallida;6.75;ReSeeD
Trichilia.silvatica;15;ReSeeD
Urera.baccifera;2;Bello
Urera.caracasana;0.5;First Choice in Neotropical Birds: Effects of Fruit Type and Accessibility on Selectivity (Levey, Moermond, & Denslow, 1984)
Urera.nitida;0.75;Flora e Funga do Brasil
Vasconcellea.quercifolia;5;Bello
Vernonanthura.discolor;2.7;ReSeeD
Virola.bicuhyba;24;Bello
Virola.sebifera;15;Bello
Vismia.brasiliensis;3;Bello
Vitex.cymosa;17.1;Bello
Vitex.megapotamica;13.3;ReSeeD
Vitex.polygama;13;ReSeeD
Vitex.sellowiana;13;Bello
Xylopia.aromatica;5.9;ReSeeD
Xylopia.brasiliensis;7.2;ReSeeD
Xylosma.ciliatifolia;4.5;Bello
Xylosma.glaberrima;5.2;Bello
Xylosma.prockia;3;The World Flora Online
Xylosma.pseudosalzmanii;2.5;ReSeeD
Xylosma.tweediana;2.5;The World Flora Online
Zanthoxylum.caribaeum;4.5;The World Flora Online
Zanthoxylum.fagara;3.5;The World Flora Online
Zanthoxylum.monogynum;4.1;Bello
Zanthoxylum.petiolare;5.2;Bello
Zanthoxylum.rhoifolium;3.527;ReSeeD
Zanthoxylum.riedelianum;4.55;ReSeeD
Zollernia.ilicifolia;17;ReSeeD
